"src","thumbnail"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666083432841_32278-BERUFECLIPSElektronikerInfrAutomatisierungstechnikK/Default/MP4/1666083432841_32278-BERUFECLIPSElektronikerInfrAutomatisierungstechnikK.mp4","https://api.yolomio.de/image/key/1668003090439_41692-EATFotoFord.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666955911334_68024-ABELAusbildungsberufe/Default/MP4/1666955911334_68024-ABELAusbildungsberufe.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666955911334_68024-ABELAusbildungsberufe/Default/Thumbnails/1666955911334_68024-ABELAusbildungsberufe.0000000.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1709720335347_video_3377/Default/MP4/1709720335347_video_3377.mp4","https://api.yolomio.de/image/key/1709728710281_44710-Automobilkauffrau.JPG"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1706700628515_86516/Default/MP4/1706700628515_86516.mp4","https://api.yolomio.de/image/key/1706702453127_72205-VPlusbraun.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1697633351329_50157/Default/MP4/1697633351329_50157.mp4","https://api.yolomio.de/image/key/1697719680132_24487-Nelles.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1693229967643_16776/Default/MP4/1693229967643_16776.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1693229967643_16776/Default/Thumbnails/1693229967643_16776.0000001.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1708086489499_video_3324/Default/MP4/1708086489499_video_3324.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1708086489499_video_3324/Default/Thumbnails/1708086489499_video_3324.0000004.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1681383546426_87121/Default/MP4/1681383546426_87121.mp4","https://api.yolomio.de/image/key/1681387008126_67451-DHLFreightKfl.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666171196250_99276-ViessmannHeidemann/Default/MP4/1666171196250_99276-ViessmannHeidemann.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666171196250_99276-ViessmannHeidemann/Default/Thumbnails/1666171196250_99276-ViessmannHeidemann.0000003.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666090252291_62596-komprimiertMOTELONE/Default/MP4/1666090252291_62596-komprimiertMOTELONE.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666090252291_62596-komprimiertMOTELONE/Default/Thumbnails/1666090252291_62596-komprimiertMOTELONE.0000001.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1687265454320_46629/Default/MP4/1687265454320_46629.mp4","https://api.yolomio.de/image/key/1687267765643_81445-Industriekauffrau.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/HDI_Employee_Interviews_2021_Azubi_Mileva_220413_1/Default/MP4/HDI_Employee_Interviews_2021_Azubi_Mileva_220413_1.mp4","https://api.yolomio.de/image/key/1681810784419_14963-HDI.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1692339198217_84075/Default/MP4/1692339198217_84075.mp4","https://api.yolomio.de/image/key/1692340033388_86085-KatharinaheinFISystemintegration.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1684848539413_7625/Default/MP4/1684848539413_7625.mp4","https://api.yolomio.de/image/key/1684849610222_242-Kttgen.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1687181566656_18700/Default/MP4/1687181566656_18700.mp4","https://api.yolomio.de/image/key/1687242070572_78706-WerkzeugmechanikerII.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1668609601084_90396/Default/MP4/1668609601084_90396.mp4","https://api.yolomio.de/image/key/1692340614648_49892-KatharinaheinIndustriekaufleute.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1719237294423_video_3442/Default/MP4/1719237294423_video_3442.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1719237294423_video_3442/Default/Thumbnails/1719237294423_video_3442.0000000.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1707230452517_39937/Default/MP4/1707230452517_39937.mp4","https://api.yolomio.de/image/key/1707230487660_80797-PHOTO.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1703157172108_18109/Default/MP4/1703157172108_18109.mp4","https://api.yolomio.de/image/key/1703166006889_95094-odegeisenbahn.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1709721761916_video_3385/Default/MP4/1709721761916_video_3385.mp4","https://api.yolomio.de/image/key/1709721964535_269-Fotograf.JPG"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666957284152_5550-ABELAusbildungsberufe/Default/MP4/1666957284152_5550-ABELAusbildungsberufe.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1666957284152_5550-ABELAusbildungsberufe/Default/Thumbnails/1666957284152_5550-ABELAusbildungsberufe.0000000.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1674810061959_95618/Default/MP4/1674810061959_95618.mp4","https://api.yolomio.de/image/key/1674810112792_31894-DSC.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/Ruecker_Mechatroniker_720/Default/MP4/Ruecker_Mechatroniker_720.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/Ruecker_Mechatroniker_720/Default/Thumbnails/Ruecker_Mechatroniker_720.0000002.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1684931189202_50557/Default/MP4/1684931189202_50557.mp4","https://api.yolomio.de/image/key/1685602575625_79615-Studentsinteractwithacobotmaster.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/Alight_Recruitingfilm/Default/MP4/Alight_Recruitingfilm.mp4","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/Alight_Recruitingfilm/Default/Thumbnails/Alight_Recruitingfilm.0000003.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1707230315245_22089/Default/MP4/1707230315245_22089.mp4","https://api.yolomio.de/image/key/1707230362029_83250-PHOTO.jpg"
"https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1681219614058_38523/Default/MP4/1681219614058_38523.mp4","https://api.yolomio.de/image/key/1692609413279_89510-edeka.jpg"
