"id","userId","name","filename","originalname","mimetype","destination","path","size","created","thumbnail","location","bucket","key","type","progressStatus","views","topixId","portrait"
1114,204,"JonaHandelsfachwirt.m4v","JonaHandelsfachwirt.m4v","Jona_Handelsfachwirt_08-.m4v","video/mp4","/1669973412669_41742","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1669973412669_41742/Default/MP4/1669973412669_41742.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1669973412669_41742","yolomio-uploads","1669973412669_41742",NULL,"complete",0,NULL,False
1115,204,"GestalterNele.m4v","GestalterNele.m4v","Gestalter_Nele.m4v","video/mp4","/1669974194143_23383","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1669974194143_23383/Default/MP4/1669974194143_23383.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1669974194143_23383","yolomio-uploads","1669974194143_23383",NULL,"complete",0,NULL,False
1116,216,"GARTNERCINEMAWEBfps.mp4","GARTNERCINEMAWEBfps.mp4","GARTNER_CINEMA_WEB_25fps.mp4","video/mp4","/1670232345570_98105","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1670232345570_98105/Default/MP4/1670232345570_98105.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1670232345570_98105","yolomio-uploads","1670232345570_98105",NULL,"complete",0,NULL,False
1117,217,"IMAHassiaAusbildungskampagne.mp4","IMAHassiaAusbildungskampagne.mp4","IMA Hassia-Ausbildungskampagne.mp4","video/mp4","/1670234955317_16082","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1670234955317_16082/Default/MP4/1670234955317_16082.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1670234955317_16082","yolomio-uploads","1670234955317_16082",NULL,"complete",0,NULL,False
1118,214,"AlbertsmeyerMechanikerKYT.mp4","AlbertsmeyerMechanikerKYT.mp4","Albertsmeyer Mechaniker 4K YT.mp4","video/mp4","/1670335119682_75388","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1670335119682_75388/Default/MP4/1670335119682_75388.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1670335119682_75388","yolomio-uploads","1670335119682_75388",NULL,"complete",0,NULL,False
1119,218,"rechtsplegerrecruitingfilmp.mov","rechtsplegerrecruitingfilmp.mov","rechtspleger-recruitingfilm-1080p.mov","video/quicktime","/1670337832493_43959","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1670337832493_43959/Default/MP4/1670337832493_43959.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1670337832493_43959","yolomio-uploads","1670337832493_43959",NULL,"complete",0,NULL,False
1120,201,"FeinwerkmechanikV.mp4","FeinwerkmechanikV.mp4","Feinwerkmechanik_V2.mp4","video/mp4","/1670403518760_96666","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1670403518760_96666/Default/MP4/1670403518760_96666.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1670403518760_96666","yolomio-uploads","1670403518760_96666",NULL,"complete",0,NULL,False
1121,35,"YolomioSchuelersicht.mp4","YolomioSchuelersicht.mp4","Yolomio Schuelersicht.mp4","video/mp4","/1670412060320_28831","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1670412060320_28831/Default/MP4/1670412060320_28831.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1670412060320_28831","yolomio-uploads","1670412060320_28831",NULL,"complete",0,NULL,False
1122,220,"YolomioSchuelersicht.mp4","YolomioSchuelersicht.mp4","Yolomio Schuelersicht.mp4","video/mp4","/1670413502920_60581","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1670413502920_60581/Default/MP4/1670413502920_60581.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1670413502920_60581","yolomio-uploads","1670413502920_60581",NULL,"complete",0,NULL,False
1123,71,"Imagefilmfinal.mp4","Imagefilmfinal.mp4","Imagefilm_final.mp4","video/mp4","/1670424929613_87006","https://yolomio-video-sources.s3.eu-west-1.amazonaws.com/1670424929613_87006/Default/MP4/1670424929613_87006.mp4",NULL,NULL,NULL,"https://yolomio-uploads.s3.amazonaws.com/1670424929613_87006","yolomio-uploads","1670424929613_87006",NULL,"complete",0,NULL,False
